park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
MADRONA PLAYGROUND,12,4,3.0,47.611016,-122.289872,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BRIGHTON PLAYFIELD,15,1,15.0,47.548383,-122.282083,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MYRTLE EDWARDS PARK,13,2,6.5,47.618673,-122.360425,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WALT HUNDLEY PLAYFIELD,14,1,14.0,47.540219,-122.373375,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ALKI PLAYGROUND,5,8,0.62,47.578491,-122.407298,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CASCADE PLAYGROUND,9,4,2.25,47.621387,-122.332334,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FAIRMOUNT PLAYGROUND,11,1,11.0,47.554035,-122.380535,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CAMP LONG,9,3,3.0,47.556236,-122.373145,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
TASHKENT PARK,11,0,,47.623785,-122.323429,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
INTERBAY ATHLETIC FIELD,7,4,1.75,47.647234,-122.379175,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DAHL (WALDO J.) PLAYFIELD,8,3,2.67,47.685261,-122.299294,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LAKE WASHINGTON BOULEVARD,11,0,,47.56548,-122.27046,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MAGNOLIA PARK,5,5,1.0,47.633443,-122.397378,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
