park,year,dlp_only,citations
906 E John Street,2015,True,1
9060 4th Avenue SW,2015,True,1
9106 12th Avenue NE,2015,True,1
913 N 72nd Street,2014,True,1
917 16th Avenue E,2015,True,1
920 SW Holden Street A,2015,True,1
9200 2nd Avenue SW 330A,2015,True,1
9201 15th Avenue NW,2016,True,1
9212 39th Avenue S,2014,True,1
923 NW 54th Street,2018,True,3
9242 Phinney Avenue N,2015,True,1
9273 Fauntleroy Way SW,2016,True,1
93 E Boston Street 102,2015,True,1
933 NW 97th Street,2015,True,1
9428 Ravenna Avenue NE 101,2014,True,2
950 NW Carkeek Park Road,2025,True,1
9547 1st Avenue NW,2015,True,1
9741 Woodlawn Avenue N C,2014,True,1
98 Union Street 1000,2015,True,1
980 Cedar Hill Road,2014,True,1
9816 31st Avenue SW,2015,True,1
9817 55th Avenue S,2018,True,2
9904 31st Avenue SW,2014,True,1
9910 NW Pioneer Road,2015,True,1
Adams Street Boat Ramp,2020,False,1
Adams Street Boat Ramp,2020,True,1
Al Larkin Park,2015,True,2
Albert Davis Park,2024,False,1
Albert Davis Park,2024,True,1
Alki Beach Park,2016,True,5
Alki Beach Park,2017,True,17
Alki Beach Park,2018,True,16
Alki Beach Park,2019,True,18
Alki Beach Park,2020,True,16
Alki Beach Park,2021,True,9
Alki Beach Park,2022,False,2
Alki Beach Park,2022,True,13
Alki Beach Park,2023,True,9
Alki Beach Park,2024,False,1
Alki Beach Park,2024,True,6
Alki Beach Park,2025,False,1
Alki Beach Park,2025,True,3
Alki Park,2017,True,1
Alki Playground,2015,True,1
Alki Playground,2016,True,7
Alki Playground,2017,True,10
Alki Playground,2018,True,6
Alki Playground,2019,True,4
Alki Playground,2021,True,1
Alki Playground,2022,True,2
Alki Playground,2023,False,1
Alki Playground,2023,True,8
Alki Playground,2024,True,4
Alki Playground,2025,False,1
Alki Playground,2025,True,4
Alvin Larkin Park,2020,True,1
Arboretum,2017,True,4
B F Day Park,2016,True,1
B F Day Playground,2018,True,1
B F Day Playground,2019,True,1
B. F. Day Playground,2023,True,1
B.F. Day Playground,2020,True,3
B.F. Day Playground,2021,True,3
B.F. Day Playground,2022,True,3
B.F. Day Playground,2023,True,1
B.F. Day Playground,2024,True,3
B.F. Day Playground,2025,False,1
B.F. Day Playground,2025,True,2
BF Day Playground,2023,True,1
Ballard CC Playfield,2019,True,1
Ballard Commons,2019,True,1
Ballard Commons,2020,False,1
Ballard Community Center,2015,True,4
Ballard Community Center,2019,False,1
Ballard Community Center,2019,True,14
Ballard Community Center,2020,True,2
Ballard Neighborhood Parks,2018,True,1
Ballard Playfield,2018,True,3
Ballard Playfield,2019,True,1
Ballard Playfield,2020,True,2
Ballard Playfield,2021,True,1
Ballard Playfield/Salmon Bay/Loyal Heights,2018,True,1
Ballard Playground,2016,True,13
Ballard Playground,2018,True,14
Ballard Playground,2019,True,17
Ballard Playground,2020,True,6
Ballard Playground,2021,False,1
Ballard Playground,2021,True,6
Ballard Playground,2023,False,2
Ballard Playground,2023,True,7
Ballard Playground,2024,True,5
Ballard Playground,2025,True,1
Bar S Playfield,2019,True,1
Bar S Playground,2019,True,5
Bar-S Playfield,2018,True,1
Bar-S Playfield,2019,True,2
Bar-S Playground,2019,False,1
Bar-S Playground,2019,True,5
Bar-S Playground,2020,True,3
Bar-S Playground,2021,True,2
Bar-S Playground,2025,False,1
Bar-S Playground,2025,True,2
Bayview Playfield,2019,True,1
Bayview Playfield,2021,True,2
Bayview Playground,2019,True,2
Bayview Playground,2020,True,1
Bayview Playground,2022,True,1
Bayview Playground,2024,True,2
Bayview Playground,2025,True,1
Beacon Hill Playfield,2015,True,2
Beacon Hill Playfield,2019,True,2
Beacon Hill Playfield,2021,False,1
Beacon Hill Playfield,2021,True,2
Beacon Hill Playfield,2022,True,5
Beacon Hill Playfield,2024,False,1
Beacon Hill Playfield,2024,True,2
Benefit Playground,2018,True,1
Benefit playground,2022,False,1
Bhy Cracke Park,2021,True,1
Bhy Kracke Park,2019,True,1
Bitter Lake Playground,2015,True,1
Bitter Lake Playground,2016,True,1
Bitter Lake Playground,2017,True,1
Bitter Lake Playground,2018,True,1
Bitter Lake Playground,2019,True,5
Bitter Lake Playground,2020,True,2
Bitter Lake Playground,2021,True,2
Bitter Lake Playground,2022,True,1
Bitter Lake Playground,2025,False,2
Bitter Lake Playground,2025,True,2
BitterLake Playfield,2016,True,1
Bitterlake Park,2016,True,2
Bitterlake Playfield,2022,True,1
Bobby Morris Playfield,2019,True,6
Bobby Morris Playfield,2020,False,4
Brighton Playfield,2019,True,1
Brighton Playfield,2020,True,1
Brighton Playfield,2025,True,1
Broadway Hill Park,2018,True,1
Bryant Neighborhood Playground,2017,True,1
Bryant Neighborhood Playground,2019,True,1
Bryant Neighborhood Playground,2024,False,1
Bryant Neighborhood Playground,2024,True,1
Bryant Playground,2016,True,2
Bryant Playground,2023,True,1
Cal Anderson Park,2015,True,4
Cal Anderson Park,2016,True,6
Cal Anderson Park,2017,True,6
Cal Anderson Park,2018,True,51
Cal Anderson Park,2019,False,14
Cal Anderson Park,2019,True,66
Cal Anderson Park,2020,False,7
Cal Anderson Park,2020,True,42
Cal Anderson Park,2021,False,6
Cal Anderson Park,2021,True,29
Cal Anderson Park,2022,True,1
Cal Anderson Park,2023,False,1
Cal Anderson Park,2023,True,1
Cal Anderson Park,2024,False,2
Cal Anderson Park,2024,True,8
Camp Long,2016,True,2
Camp Long,2018,True,1
Camp Long,2021,True,2
Camp Long,2025,True,3
Carkeek Park,2015,True,1
Carkeek Park,2016,True,6
Carkeek Park,2017,True,4
Carkeek Park,2018,True,15
Carkeek Park,2019,True,9
Carkeek Park,2020,True,2
Carkeek Park,2021,True,2
Carkeek Park,2023,False,1
Carkeek Park,2023,True,5
Carkeek Park,2024,False,1
Carkeek Park,2024,True,7
Carkeek Park,2025,False,3
Carkeek Park,2025,True,6
Carkeek Park,2026,True,1
Cascade Park,2016,True,1
Cascade Playground,2015,True,3
Cascade Playground,2016,True,5
Cascade Playground,2017,True,3
Cascade Playground,2018,True,1
Cascade Playground,2019,True,1
Cascade Playground,2020,True,1
Cascade Playground,2021,True,1
Cascade Playground,2024,True,3
Cascade Playground,2025,True,1
Centennial Park,2018,True,5
Centennial Park,2019,True,1
Central Parks,2020,True,2
Cleveland High School Playfield,2016,True,2
Cleveland Playfield,2016,True,2
Colman Beach,2016,True,4
Colman Park,2018,True,1
Colman Playground,2019,True,2
Colman beach,2020,False,1
Colman beach,2020,True,2
Constellation Park,2023,True,1
Cormorant Cove Park,2019,False,1
Cormorant Cove Park,2019,True,1
Corson Avenue S,2018,True,1
Cowan Park,2019,False,1
Cowan Park,2019,True,1
Cowen Park,2019,True,6
Cowen Park,2020,True,5
Cowen Park,2021,False,1
Cowen Park,2021,True,2
Cowen Park,2022,True,1
Crown HIll Park,2023,True,1
Crown Hill Park,2023,True,1
Crown Hill Playfield,2016,True,2
Daejeon Park,2015,True,2
Daejeon Park,2017,True,1
Daejeon Park,2019,True,1
Daejeon Park,2020,True,3
Dahl (Waldo J.) Playfield,2018,True,2
Dahl (Waldo J.) Playfield,2023,True,1
Dahl Playfield,2015,True,3
Dahl Playfield,2017,True,2
Dahl Playfield,2019,True,7
Dahl Playfield,2021,False,1
Dahl Playfield,2021,True,6
Dahl Playfield,2025,False,1
Dahl Playfield,2025,True,2
Dahl Playfield,2026,True,1
Dahl Playground,2016,True,1
Dahl playfield,2019,True,2
David Rodger Park,2018,True,4
David Rodgers Park,2016,True,5
David Rodgers Park,2017,True,5
David Rodgers Park,2018,True,15
David Rodgers Park,2019,False,2
David Rodgers Park,2019,True,13
David Rodgers Park,2020,True,5
David Rodgers Park,2021,True,3
David Rodgers Park,2022,True,4
David Rodgers Park,2023,True,1
David Rodgers Park,2024,False,1
David Rodgers Park,2024,True,6
David Rodgers Park,2025,True,6
David Rodgers Park,2026,True,1
Day Street Park,2015,True,3
Day Street Park,2018,True,1
Delridge Community Center,2018,True,1
Delridge Playfield,2016,True,3
Delridge Playfield,2018,True,2
Delridge Playfield,2019,True,3
Delridge Playfield,2020,False,1
Delridge Playfield,2020,True,4
Delridge Playfield,2022,True,1
Delridge Playfield,2024,True,4
Delridge Playfield,2025,True,3
Delridge playfield,2024,True,3
Denny Blaine Park,2015,True,1
Denny Blaine Park,2016,True,1
Denny Park,2015,True,1
Denny Park,2017,True,1
Denny Park,2018,True,2
Denny Park,2019,True,6
Denny Park,2020,False,2
Denny Park,2020,True,1
Discovery,2016,True,3
Discovery,2018,True,3
Discovery,2019,True,2
Discovery Discovery Park,2018,True,1
Discovery Park,2015,True,26
Discovery Park,2016,True,82
Discovery Park,2017,True,72
Discovery Park,2018,True,142
Discovery Park,2019,False,32
Discovery Park,2019,True,99
Discovery Park,2020,False,1
Discovery Park,2020,True,23
Discovery Park,2021,False,4
Discovery Park,2021,True,36
Discovery Park,2022,False,4
Discovery Park,2022,True,14
Discovery Park,2023,False,1
Discovery Park,2023,True,11
Discovery Park,2024,False,10
Discovery Park,2024,True,37
Discovery Park,2025,True,17
Discovery Park,2026,True,5
Discovery Prk,2018,True,3
Dr. Jose Rizal Park,2021,True,1
Dragonfly Park,2016,True,3
Dragonfly Park,2017,True,1
E C Hughes Playfield,2018,True,1
